Förvaltning;Leverantör;Organisationsnummer;Verifikationsnummer;Konto;Kontotext;Belopp exkl moms
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684258;6441;Livsmedel;1 175,04
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684259;6441;Livsmedel;726,20
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685268;6441;Livsmedel;300,69
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685292;6441;Livsmedel;146,58
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685293;6441;Livsmedel;4 707,24
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601685293;6441;Livsmedel;120,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684186;6442;Ekologiska livsmedel;65,79
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684258;6442;Ekologiska livsmedel;376,69
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684259;6442;Ekologiska livsmedel;388,15
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684256;6441;Livsmedel;886,35
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684261;6441;Livsmedel;2 116,17
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684186;6441;Livsmedel;40,77
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684174;6441;Livsmedel;426,24
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684179;6441;Livsmedel;14 046,18
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684179;6441;Livsmedel;40,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684656;6441;Livsmedel;40,00
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684256;6442;Ekologiska livsmedel;806,69
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684261;6442;Ekologiska livsmedel;177,58
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684185;6441;Livsmedel;1 376,72
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684187;6441;Livsmedel;1 190,76
160 - Äldre samt vård- och omsorgsnämnden;MARTIN&SERVERA RESTAURANGHANDEL;5591355549;1601684174;6442;Ekologiska livsmedel;692,48
